Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2025-06-10,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Getting the loan,,I attempted to open account was told my info was not able to be verified S I pulled my XXXX XXXX  and credit report info made sure info was correct and no freeze in place I then emailed and called customer service who would not give info and said I could never open account I was provided no adverse action notice and not able to dispute and correct incorrect info they are using to base decision,Company believes it acted appropriately as authorized by contract or law,Kikoff Inc.,FL,33177,,Consent provided,Web,2025-06-10,Closed with explanation,Yes,,13994850
2025-06-06,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I filed a dispute with my bank, Truist, on my business credit card for services I had contracted and paid for that turned out to be fraudulent. My dispute case number was XXXX. I singed and paid this contract on XX/XX/XXXX. I found out this was fraudulent transaction in XXXX of XXXX and filed my dispute XX/XX/XXXX. Truist has since denied my dispute for no correct or apparent reason that is applicable to the reason I disputed the charge. This case involves over 400 others and has been escalated to the SEC, FTC, and FBI. This is the letter along with other supporting documents I sent to Truist : This letter outlines my formal dispute and request for chargeback regarding undelivered commercial trucking services I contracted through XXXX XXXX XXXX and XXXX XXXX XXXX XXXX. The dispute relates to payments made via XXXX, funded through Truist business credit card totaling {$12000.00}. Although funds were transmitted through XXXX, these payments were in no shape or form a gift. They were for contracted services that were misrepresented, only partially rendered, and ultimately abandoned. 
Please refer to the contract attached. 
XXXX XXXX XXXX 's recent notice claims banking and payment processing issues caused by their subcontractor, XXXX XXXX XXXX, constitute a Force Majeure event. Additionally, stating XXXX XXXX XXXX was never in possession of leased trucks as that was XXXX XXXX XXXX XXXX ( their subcontractor ). However, banking issues, subcontractor failures, and business partner defaults are normal business risks, not extraordinary Force Majeure events like natural disasters, wars, pandemics, or government shutdowns, etc. 
My contract is directly with XXXX XXXX XXXX. Their subcontractors ' failures do not absolve them of their direct obligations to me under the contract. Courts consistently hold that internal partner or vendor problems do not excuse nonperformance unless explicitly stated, which is not the case here. 
XXXX XXXX XXXX attempt to attribute blame to subcontractors ( XXXX XXXX XXXX, XXXX XXXX XXXX XXXX ) does not absolve them of liability. Under basic contract law principles, a company can not contract away its obligations by outsourcing to third parties. The risk of subcontractor nonperformance remains entirely with XXXX XXXX XXXX, who was directly responsible for fulfilling the services promised to me. 
Therefore, their failure to make the guaranteed weekly payments constitutes a breach of contract and fraud, not a valid Force Majeure event. I respectfully request that this dispute be resolved in my favor. 
This dispute involves a substantial business loss totaling {$12000.00} across my Truist business credit card, as well as an additional {$41000.00} related to other business cards being disputed and tied to undelivered services and mismanagement of funds. Totaling in {$52000.00} as stated in the contract. These funds were provided in exchange for the expectation of truck leasing, weekly operational income, insurance, driver coordination, and full commercial fleet management all outlined in the signed agreement. These services were never rendered in full, and operational updates and income deposits ceased without explanation. 
The inability to recover these funds would cause significant financial harm to my business and undermines trust in secure commercial use of Truist financial services.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,FL,33607,,Consent provided,Web,2025-06-06,Closed with explanation,Yes,,13938213
2025-06-09,Checking or savings account,Checking account,Problem caused by your funds being low,Overdrafts and overdraft fees,"I am in the process of applying for a mortgage, and a recent overdraft fee is preventing my prequalification. I respectfully requested a one-time courtesy refund at my branch and by phone, but was denied despite being a loyal customer. XXXX seeking help with getting it removed so I can move forward with housing for my family.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,77047,,Consent provided,Web,2025-06-09,Closed with explanation,Yes,,13976941
2025-06-09,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,,This all happened in XXXX and XXXX was taken from my Wells Fargo account I opened the XXXX  XXXX account all on the same day which was in XXXX no it was in XXXX XXXX savings XXXX checking in the last part of of XX/XX/XXXX of XXXX or and I received nothing they lied about the date that I opened my savings account that I was transferring on wire transfer from Wells Fargo {$200000.00} {$99000.00} and some change in checking and savings I file complaints after complaints after complaints and I never received nothing am I even filed a complaint with this department and services of consumer finances and I still haven't received nothing I had identity theft it started a long time ago I just found out I've got XXXX breaches out right now with my social security number I've already had to prove who I was to the social security administration in Texas I need I want part of the settlement I want to know what's going on why haven't I been contacted I had been hacked by by my cell phone several many times also I've tried many times to to fix the problem with even XXXX sending me a new XXXX card and notifying the FBI themselves for hackers and they were videoing and copying me which I do believe they are now I don't know I found somebody else on my friend 's phone I would like some information at once please advise me and I need resources and thank you very much and yes I did try everything ordered new cards I had everything stolen and breached and I need help thank you my information is XXXX my name is XXXX XXXX XXXX XXXX I go by XXXX XXXX XXXX XXXX XXXX XXXX my birthday is XXXX and XXXX if you want any other information you will have to call me or email me thank you for your time and your devotion for helping us have a great day I would also like the XXXX back that was in the Wells Fargo account I stayed and went to XXXX where they said that they would return my money with XXXX XXXX the XXXX finding my accounts the letters they didn't send me any bank cards they didn't do anything they took the I don't have nothing I would like all of it back and that goes to any bank 's third parties transferred parties trans transwire anything overseas international national banks from all banks. I would also like something done for my children and grandchildren since they don't understand why they're XXXX their XXXX  doesn't have a home or why she sick they don't understand the seriousness and the devastation that it's caused for any high school or or any of my young adolescent and infant to grandkids are my children. On why XXXX can not be there or to be able to travel or be there for holidays or to even have the money to afford gifts I'll be for birthdays thank you,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,75602,Servicemember,Consent provided,Web,2025-06-09,Closed with explanation,Yes,,13974625
2025-06-04,"Payday loan, title loan, personal loan, or advance loan",Installment loan,Charged fees or interest you didn't expect,,Cash Call loan. I was not clear that the interest was something like XXXX XXXX interest. The loan was back in XXXX or XXXX. Paid them back what I owed but was not good enough. Now almost XXXX years they are contacting me to take my house. I have received no correspondence or loan information on what actually the issue is.,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"CASHCALL, INC.",NV,890XX,,Consent provided,Web,2025-06-11,Closed with explanation,Yes,,13890066
2025-06-10,Credit card,Store credit card,Trouble using your card,Can't use card to make purchases,"Ongoing payment situation with Best Buy, my payments are usually incoreect. Please look at Summary of Account Activity.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",MA,01108,Older American,Consent provided,Web,2025-06-10,Closed with explanation,Yes,,14001321
2025-03-24,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"I just had the worst experience ever with their customer service. This was my first time using the travel reward miles after having the XXXX card for several years. Their Capital One XXXX website listed the amount I owed for the hotel I booked as {$36.00} and charged me {$130.00}. I spent 1 hour and 44 minutes on the phone with them just trying to find out why I was overcharged and to get a refund. I was transferred 5 times. The first rep said he couldn't do anything about it. I asked for a supervisor who escalated the concern and checked with their IT department to finally admit that they charged me inaccurately due to a miscalculation in taxes by the system : {$94.00} more than I authorized. Then they said they'd issue me a refund, but said the refund would be in miles and when converted back to dollar amounts it would be less money. WHAT??? I will admit that the supervisor who explained to me how this would work was hard to understand XXXX XXXX was her name ), but I couldn't understand how they overcharged me and then won't give me the full refund. However, the worst part was when XXXX transferred me again ( the third time ) to the credit card side and the rep was SO RUDE it was absurd. She was the only one who did not give me her name ( or if she did I didn't catch it, but I got all the other rep names ). I was being polite -- I expressed frustration ( but was not rude ) when she said that she was going to transfer me back to the travel rep for them to explain why I was getting the refund in miles and not a dollar amount. I said to her that I'd been on the phone for over an hour and didn't want to be transferred again, and she interrupted me and said "" Ma'am, this is the credit card department, not the trouble department ''. WOW. I asked for her supervisor and she put me on hold for 12 minutes, did not do what the other reps did, which was come back on the line and explain that another rep from the other department was going to take over and then connect me, she just automatically transferred me, but not to a supervisor but back to the travel department. I'm cancelling this card immediately after this fiasco is resolved, and despite all the frustration and amount of time it took to get anywhere, they're losing a customer because of that rep who did not give me her name. I'm disgusted with her.",,CAPITAL ONE FINANCIAL CORPORATION,UT,84660,,Consent provided,Web,2025-03-24,Closed with explanation,Yes,,12629540
2025-05-30,Checking or savings account,Savings account,Closing an account,Company closed your account,"USAA SAVINGS BANK DECIDED TO CLOSE MY ACCOUNT WITHOUT NOTICE, I HAVE A MEDICAL HEALTH CONDITION AND I NEED MY FUNDS RELEASED TO ME THEY STATED IT CAN TAKE 60 DAYS BUT I CAN NOT WAIT THIS LONG I HAVE FINANCIAL OBLIGATION AND THEY CAN NOT WITHHOLD MY FUNDS WHICH ALL OF IT IS FROM MY EMPLOYER DIRECT DEPOSIT. THIS IS UNFAIR AND INHUMANE",Company has responded to the consumer and the CFPB and chooses not to provide a public response,UNITED SERVICES AUTOMOBILE ASSOCIATION,TX,XXXXX,Servicemember,Consent provided,Web,2025-05-30,Closed with explanation,Yes,,13810547
2025-05-26,Credit card,Store credit card,"Other features, terms, or problems",Other problem,Synchrony bank holds the store credit card XXXX XXXX in which i am making a complaint. Without notice to the customer my credit availability was lowered on a card I've only had less than 6 months. No late payments or past due amounts on this card. I went from {$8500.00} to {$4000.00}. The only reason I accepted the credit card was because of the credit amount I could get. I could've done an in store credit payment for what I have available without this interest. Every time I make and payment they're lowering my availability? Totally unfair,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,MO,631XX,Servicemember,Consent provided,Web,2025-05-26,Closed with explanation,Yes,,13723266
2025-05-22,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"I am filing a complaint regarding Wells Fargos mishandling of a fraud claim totaling {$5800.00} in unauthorized debit card transactions. 

On XX/XX/XXXX, my Wells Fargo debit card was stolen, and the thief made several fraudulent transactions. I reported this to Wells Fargo immediately and was told a claim would be opened. I also complied with their request to file a police report, which I did with the XXXX XXXX Police department, case number XXXX. 

During their investigation, Wells Fargo confirmed they had security footage of the person using the card, which proves I was not the one making the transactions. However, despite clear evidence, Wells Fargo closed the claim and denied reimbursement.

I believe this is a violation of my consumer rights under the Electronic Fund Transfer Act ( Regulation E ), which requires the bank to properly investigate and resolve fraud claims. Wells Fargo 's handling of this case reflects negligence, breach of contract, and disregard for federal consumer protection laws.

I am requesting that Wells Fargo reopen the claim, conduct a proper investigation, and reimburse the full {$5800.00} that was fraudulently withdrawn from my account.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,90015,,Consent provided,Web,2025-05-22,Closed with explanation,Yes,,13657229
2025-05-20,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,Applied and received Credit it card on XX/XX/year> for 0 % card For 18 months I paid the fees When I got my statement there was % charged They will not provide me with my application or fix the mistake Called serval times US Bank Credit Card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,94002,,Consent provided,Web,2025-05-20,Closed with explanation,Yes,,13614924
2025-05-22,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"Claim number : XXXX I made several purchases from XXXX XXXX totaling {$7900.00}. I purchased trading card collectibles and shoes. I did not recieve the items. I tried everything to contact the merchant via email, phone, and social media. No response and no products. I contacted Wells Fargo and told them everything and requested that a dispute be filed for these transactions. A claim was opened, and not even 48 hours later they denied it. After calling them, they told me that I need to get the merchant to refund me myself. This is a direct violation of Reg E. As they are required to investigate and contact the merchant for me. They did not even do this. I told them that the merchant is not responding, and they told me that I am out of money in that case. I purchased goods and services and did not receive them. This is a LOT of money. If this dispute is not reopened I will have no choice but to contact an attorney.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CT,068XX,,Consent provided,Web,2025-05-22,Closed with explanation,Yes,,13658829
2025-05-22,Credit card,General-purpose credit card or charge card,Struggling to pay your bill,Credit card company won't work with you while you're going through financial hardship,"I am writing in response to your communication dated [ insert date of first contact ], in which you allege that I owe a debt. This is a formal notice that I dispute the validity of this debt, as provided for by the Fair Debt Collection Practices Act, specifically 15 U.S.C. 1692g ( a ).

Under this law, I am requesting that you provide proper validation of the debt, including : The name and address of the original creditor ; The amount of the alleged debt ; A copy of the original contract or agreement bearing my signature, if applicable ; Proof that you are authorized to collect on this debt ; and A detailed accounting of how the amount you claim is owed was calculated. 

Please be advised that until you provide the requested validation, you are legally required to cease all collection activities, including phone calls, letters, or credit reporting related to this debt. 

If you are unable to verify the debt, you must stop all attempts to collect it and remove any negative information you may have reported to credit bureaus.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",FL,33167,,Consent provided,Web,2025-05-22,Closed with non-monetary relief,Yes,,13654351
2025-05-21,Credit card,General-purpose credit card or charge card,Getting a credit card,Card opened without my consent or knowledge,"I have an unfamiliar inquieries report. I contacted the bank, and they have no information about me in their database. thats why im filing this report so I can clear this error from my credit. 

THIS IS WHY I DEMAND THIS BE REMOVED FROM MY CREDIT REPORT AS SOON AS POSSIBLE.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",GA,30126,,Consent provided,Web,2025-05-21,Closed with explanation,Yes,,13633606
2025-05-22,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"When I noticed that my debit card was hacked on XX/XX/year>, I immediately called Wells Fargo. They noticed multiple Money Transfers in which I told them that they were not authorized. There were a total of XXXX. They immediately cancelled my debit card and did not freeze my checking account. A total of {$4800.00} was taken from my account. I case was filed and was closed 3 days later on XX/XX/year>. I visited Wells Fargo and spoke to a rep on XX/XX/year>. They told me the case was still pending, I received a letter on XX/XX/year> that my case was closed and not funds were not returned due to not finding any unauthorized transfers even though I told them that the money transfers were not authorized by myself.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,91770,,Consent provided,Web,2025-05-22,Closed with explanation,Yes,,13659200
2025-05-20,"Payday loan, title loan, personal loan, or advance loan",Payday loan,"Was approved for a loan, but didn't receive the money",,"I received an email twice from XXXX on XX/XX/year>XXXX  and XXXX XXXX XXXX The first email said XXXX, thank you for placing a personal loan request at Credible! 
Unfortunately, our lending partners were unable to offer you personal loan rates today. The good news : checking rates doesnt impact your credit score we recommend you come back each month to see what options you may qualify for. 

The one of XXXX of XXXX Stated XXXX, an update o your Credible prequalification request I did not apply.",Company believes the complaint provided an opportunity to answer consumer's questions,Credible Labs Inc.,TX,76123,,Consent provided,Web,2025-05-20,Closed with non-monetary relief,Yes,,13617484
2025-05-21,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,"I opened an account in XXXX XXXX and deposited {$50.00} into account. I tried to make a transaction but it did not go thru since bank account was new. My account was closed with my {$50.00} in there. I called bank on XXXX and was told that If I wanted to get my money back I need to call in a month. XXXX I called again and the rep I spoke to said they will escalate my concern in order to get my money back. Today XXXX I received an email again stating my account is under review and I have to wait another month to see the results of the review, but somehow I still don't get the money back.",Company believes it acted appropriately as authorized by contract or law,"Majority USA, LLC",PA,18201,,Consent provided,Web,2025-05-21,Closed with non-monetary relief,Yes,,13612281
2025-06-07,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,,"Albert.com ( Albert Corporation ) charged me for a financial subscription nearly a year after I requested my account be closed. 

In XX/XX/XXXX, I submitted a written request via their support system to close my account and cancel any services. They stopped billing at first. Then, with no warning, they resumed monthly charges almost 12 months later without my consent, login, or reactivation. 

The unauthorized charges were : XX/XX/XXXX {$14.00} XX/XX/XXXX {$16.00} XX/XX/XXXX {$16.00} XX/XX/XXXX {$16.00} XX/XX/XXXX {$16.00} XXXX : {$82.00} I confronted the company, and only after repeated demands did they offer a refund. They also initially refused to fully close my account, claiming a small balance prevented closure. 

I believe this company is violating consumer protections regarding subscription billing and account termination. I have documented proof and screenshots of the cancellation request and billing history. 

Please investigate their billing and data retention practices I believe Albert.com is systematically exploiting users through deceptive financial practices.",Company believes the complaint provided an opportunity to answer consumer's questions,Albert Corporation,NY,10451,,Consent provided,Web,2025-06-07,Closed with explanation,Yes,,13949062
